Movie Rank,Movie Name,Movie Year,Movie Rating
191,Barry Lyndon,1975,8.1
192,The Wages of Fear,1953,8.1
193,Mr. Smith Goes to Washington,1939,8.1
194,Sherlock Jr.,1924,8.1
195,Hacksaw Ridge,2016,8.1
196,Memories of Murder,2003,8.1
197,Klaus,2019,8.1
198,Wild Tales,2014,8.1
199,The Seventh Seal,1957,8.1
200,Room,2015,8.1
201,Mad Max: Fury Road,2015,8.1
202,How to Train Your Dragon,2010,8.1
203,The Big Lebowski,1998,8.1
204,Mary and Max,2009,8.1
205,Jaws,1975,8.1
206,"Monsters, Inc.",2001,8.1
207,Tokyo Story,1953,8.1
208,Dead Poets Society,1989,8.1
209,The Passion of Joan of Arc,1928,8.1
210,Hotel Rwanda,2004,8.1
211,Rocky,1976,8.0
212,Ford v Ferrari,2019,8.0
213,Platoon,1986,8.0
214,Pather Panchali,1955,8.0
215,Stand by Me,1986,8.0
216,The Terminator,1984,8.0
217,Spotlight,2015,8.0
218,Rush,2013,8.0
219,Logan,2017,8.0
220,Network,1976,8.0
221,Ratatouille,2007,8.0
222,Into the Wild,2007,8.0
223,The Wizard of Oz,1939,8.0
224,Groundhog Day,1993,8.0
225,Before Sunset,2004,8.0
226,The Exorcist,1973,8.0
227,The Best Years of Our Lives,1946,8.0
228,The Incredibles,2004,8.0
229,To Be or Not to Be,1942,8.0
230,The Battle of Algiers,1966,8.0
231,The Grapes of Wrath,1940,8.0
232,Rebecca,1940,8.0
233,Hachi: A Dog's Tale,2009,8.0
234,Cool Hand Luke,1967,8.0
235,Amores perros,2000,8.0
236,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
237,La Haine,1995,8.0
238,Jai Bhim,2021,8.0
239,My Father and My Son,2005,8.0
240,The 400 Blows,1959,8.0
241,Persona,1966,8.0
242,It Happened One Night,1934,8.0
243,The Sound of Music,1965,8.0
244,Life of Brian,1979,8.0
245,The Handmaiden,2016,8.0
246,Dersu Uzala,1975,8.0
247,Aladdin,1992,8.0
248,Gandhi,1982,8.0
249,The Help,2011,8.0
250,The Iron Giant,1999,8.0
